ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1965-01-01,1788.7571308167,619.3980079863097,955.7837779236962,1788.7571308167,1788.7571308167,-1003.7841659020103,-1003.7841659020103,-1003.7841659020103,-1003.7841659020103,-1003.7841659020103,-1003.7841659020103,0.0,0.0,0.0,784.9729649146898
1966-01-01,1839.0442759376174,633.064677906709,978.4374533469098,1839.0442759376174,1839.0442759376174,-1038.5117945027089,-1038.5117945027089,-1038.5117945027089,-1038.5117945027089,-1038.5117945027089,-1038.5117945027089,0.0,0.0,0.0,800.5324814349085
1967-01-01,1889.3314210585343,690.5971373977607,1034.614663227491,1889.3314210585343,1889.3314210585343,-1035.8926459224158,-1035.8926459224158,-1035.8926459224158,-1035.8926459224158,-1035.8926459224158,-1035.8926459224158,0.0,0.0,0.0,853.4387751361185
1968-01-01,1939.6185661696315,767.9595885353057,1107.245642234353,1939.6185661696315,1939.6185661696315,-995.8658469791195,-995.8658469791195,-995.8658469791195,-995.8658469791195,-995.8658469791195,-995.8658469791195,0.0,0.0,0.0,943.752719190512
1969-01-01,1990.043484281034,815.506620432117,1151.307336216409,1990.043484281034,1990.043484281034,-1003.7841659020652,-1003.7841659020652,-1003.7841659020652,-1003.7841659020652,-1003.7841659020652,-1003.7841659020652,0.0,0.0,0.0,986.2593183789687
1970-01-01,2040.3306293546268,834.6202525480061,1176.3016094603677,2040.3306293546268,2040.3306293546268,-1038.5117945027066,-1038.5117945027066,-1038.5117945027066,-1038.5117945027066,-1038.5117945027066,-1038.5117945027066,0.0,0.0,0.0,1001.8188348519202
1971-01-01,2090.6177744282195,877.3759756422451,1222.0747872910486,2090.6177744282195,2090.6177744282195,-1035.8926459224303,-1035.8926459224303,-1035.8926459224303,-1035.8926459224303,-1035.8926459224303,-1035.8926459224303,0.0,0.0,0.0,1054.7251285057891
1972-01-01,2140.904919743129,981.6096498229288,1315.329332552589,2140.904919743129,2140.904919743129,-995.8658469791314,-995.8658469791314,-995.8658469791314,-995.8658469791314,-995.8658469791314,-995.8658469791314,0.0,0.0,0.0,1145.0390727639976
1973-01-01,2191.3298380589017,1008.9001185536989,1359.539283148255,2191.3298380589017,2191.3298380589017,-1003.7841659021191,-1003.7841659021191,-1003.7841659021191,-1003.7841659021191,-1003.7841659021191,-1003.7841659021191,0.0,0.0,0.0,1187.5456721567825
1974-01-01,2241.6200740726467,1031.0475988191827,1364.711504106676,2241.6200740726467,2241.6200740726467,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,0.0,0.0,0.0,1203.108279569947
1975-01-01,2291.9207012226193,1080.458495184382,1434.2465469510853,2291.9207012226193,2291.9207012226193,-1035.8926459224526,-1035.8926459224526,-1035.8926459224526,-1035.8926459224526,-1035.8926459224526,-1035.8926459224526,0.0,0.0,0.0,1256.0280553001667
1976-01-01,2342.2213283725914,1174.661760423207,1506.5265347690397,2342.2213283725914,2342.2213283725914,-995.8658469791042,-995.8658469791042,-995.8658469791042,-995.8658469791042,-995.8658469791042,-995.8658469791042,0.0,0.0,0.0,1346.3554813934873
1977-01-01,2392.6772957656467,1217.9001308503832,1562.2712398038045,2392.6772957656467,2392.6772957656467,-1003.7841659021268,-1003.7841659021268,-1003.7841659021268,-1003.7841659021268,-1003.7841659021268,-1003.7841659021268,0.0,0.0,0.0,1388.8931298635198
1978-01-01,2442.9954053242946,1229.3693656760033,1561.4790277714662,2442.9954053242946,2442.9954053242946,-1038.511794502702,-1038.511794502702,-1038.511794502702,-1038.511794502702,-1038.511794502702,-1038.511794502702,0.0,0.0,0.0,1404.4836108215925
1979-01-01,2493.327017397078,1290.8591024512632,1622.030583715277,2493.327017397078,2493.327017397078,-1035.8926459224192,-1035.8926459224192,-1035.8926459224192,-1035.8926459224192,-1035.8926459224192,-1035.8926459224192,0.0,0.0,0.0,1457.434371474659
1980-01-01,2543.6586294698614,1377.3848134540092,1721.1953923935719,2543.6586294698614,2543.6586294698614,-995.8658469791503,-995.8658469791503,-995.8658469791503,-995.8658469791503,-995.8658469791503,-995.8658469791503,0.0,0.0,0.0,1547.792782490711
1981-01-01,2602.3930908957955,1423.1864487338441,1766.8363458661404,2602.3930908957955,2602.3930908957955,-1003.7841659020525,-1003.7841659020525,-1003.7841659020525,-1003.7841659020525,-1003.7841659020525,-1003.7841659020525,0.0,0.0,0.0,1598.6089249937431
1982-01-01,2660.967075651167,1458.556515434471,1788.8255146995475,2660.967075651167,2660.967075651167,-1038.5117945026839,-1038.5117945026839,-1038.5117945026839,-1038.5117945026839,-1038.5117945026839,-1038.5117945026839,0.0,0.0,0.0,1622.455281148483
1983-01-01,2719.580571628939,1513.2931323452285,1848.527547257744,2719.580571628939,2719.580571628939,-1035.8926459223856,-1035.8926459223856,-1035.8926459223856,-1035.8926459223856,-1035.8926459223856,-1035.8926459223856,0.0,0.0,0.0,1683.6879257065536
1984-01-01,2778.1940676067115,1610.8268107340286,1948.6703362888843,2778.1940676067115,2778.1940676067115,-995.8658469790479,-995.8658469790479,-995.8658469790479,-995.8658469790479,-995.8658469790479,-995.8658469790479,0.0,0.0,0.0,1782.3282206276635
1985-01-01,2836.9891088435825,1648.2232011429462,2004.2100899306274,2836.9891088435825,2836.9891088435825,-1003.7841659022475,-1003.7841659022475,-1003.7841659022475,-1003.7841659022475,-1003.7841659022475,-1003.7841659022475,0.0,0.0,0.0,1833.204942941335
1986-01-01,2895.6235078912814,1690.230565295122,2032.507221080471,2895.6235078912814,2895.6235078912814,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,-1038.5117945026998,0.0,0.0,0.0,1857.1117133885816
1987-01-01,2954.300189903962,1730.4243332423732,2091.683927681661,2954.300189903962,2954.300189903962,-1035.8926459223649,-1035.8926459223649,-1035.8926459223649,-1035.8926459223649,-1035.8926459223649,-1035.8926459223649,0.0,0.0,0.0,1918.407543981597
1988-01-01,3012.9768719166423,1858.220659913151,2194.625822036949,3012.9768719166423,3012.9768719166423,-995.8658469790746,-995.8658469790746,-995.8658469790746,-995.8658469790746,-995.8658469790746,-995.8658469790746,0.0,0.0,0.0,2017.1110249375677
1989-01-01,3071.836460692162,1893.1925291880018,2241.9402068614454,3071.836460692162,3071.836460692162,-1003.7841659019854,-1003.7841659019854,-1003.7841659019854,-1003.7841659019854,-1003.7841659019854,-1003.7841659019854,0.0,0.0,0.0,2068.0522947901763
1990-01-01,3130.6445012045847,1925.3136833352175,2269.9222768929953,3130.6445012045847,3130.6445012045847,-1038.5117945026113,-1038.5117945026113,-1038.5117945026113,-1038.5117945026113,-1038.5117945026113,-1038.5117945026113,0.0,0.0,0.0,2092.1327067019733
